amount,amountUSD,asset,timestamp
12536400505880244728447149,241645387.9510946572631830205495,LINK,1754639111
60000000000000000000000,230100000,WETH,1753107431
60000000000000000000000,230100000,WETH,1753107431
60000000000000000000000,230100000,WETH,1753107431
60000000000000000000000,230100000,WETH,1753107431
41972301092267388472402,179057872.4199691421540501185745194,wstETH,1732884539
150977021158951400000000000,150969004.27912785968066,USDe,1755005495
26712999243421966261596,123284015.941373553661228196191452,WETH,1755047315
109065151083387413427431872,109059359.7238648855557788753675968,USDe,1755005495
20443930471900668344325,106455381.9219663783786896856320655,wstETH,1755510299
54000000000000000000000,106399207.92906,WETH,1700023439
105000000000000,104975769.15,USDC,1758132239
30000000000000000000000,101667865.9446,WETH,1719291875
30000000000000000000000,101667865.9446,WETH,1719291875
30000000000000000000000,101259497.9508,WETH,1719291035
100000000000000,99968049,USDC,1767187751
100000000000000,99956374,USDT,1766416547
96183208827105,96188887.4837541522792,USDT,1765391687
96177250309431,96182928.61428926880624,USDT,1765391687
96111667895157,96117342.32802953006928,USDT,1765391687
95389835168100,95395466.983968324624,USDT,1765391687
94999999000000,94984799.00016,USDC,1764007907
18458232041680936547033,92897995.74950714395217607977927516,wstETH,1760327615
35000000000000000000000,90158381.495,WETH,1751607047
87444984530665,87450147.2825516904616,USDT,1765391687
19000000000000000000000,86295530,WETH,1759947767
85000000000000,85005950,USDT,1753743599
80000000000000,79992409.6,USDT,1763006159
80000000000000,79983656.8,USDC,1749915647
30000000000000000000000,77278612.71,WETH,1751607047
22000000000000000000000,74713525.7,WETH,1732684727
72026396630245,72026788.4538426685328,PYUSD,1767186587
70000000000000,70008673.7,USDT,1764580931
16500000000000000000000,68456929.47984,WETH,1758649343
20000000000000000000000,67921387,WETH,1732684727
20000000000000000000000,67921387,WETH,1732684727
17389203594300560641356,65650977.69599215405730537255375316,wstETH,1736842031
19800000000000000000000,64072575.480474,wstETH,1749526175
18572761495512887184352,62176306.6781224764664968003744,WETH,1735331795
17600000000000000000000,61031852.64,WETH,1712762279
60000000000000,59995530,USDT,1764587063
60000000000000,59989545,USDT,1762793291
60000000000000,59925634.2,USDT,1767036851
14925119512062349419126,58995450.47399315531941502330484858,wstETH,1732276067
35252895745203769688633,56550301.81926349453248178911430971,WETH,1744546283
12909532234000017260585,55815115.68003065197356612870926605,wstETH,1733187503
15959822097437095846082,55324778.68086957619424272602915754,WETH,1736266595
14224535060357781485376,53003165.27131267858733314595878656,wstETH,1732190303
17000000000000000000000,52944970,WETH,1764790127
20000000000000000000000,52811800,WETH,1748418587
12053437709999999854894,51612892.1796053302691552423629017,wstETH,1733263667
50000000000000,50015750,USDT,1752413039
50000000000000,50006195.5,USDT,1764579515
50000000000000,49991287.5,USDT,1762828115
50000000000000,49989779,USDT,1763095415
50000000000000,49989500,USDC,1762922963
50000000000000,49952354,USDT,1763663951
19542166719132553760336,49847713.55902860258959722987315456,WETH,1748726963
22500000000000000000000,49707662.7879,WETH,1741474703
19000000000000000000000,48943121.383,WETH,1751607047
9320700000000000000000,48706870.578236061,wstETH,1759324319
15000000000000000000000,47046750,WETH,1738147115
14000000000000000000000,46277287.46116,wstETH,1763712107
9445522433872166470530,45362694.1474602599568479037163962,wstETH,1761811559
11808297986654027098078,45254239.36484944372299514655633402,wstETH,1736920295
45000000000000,44996647.5,USDT,1764633731
15000000000000000000000,44673300,WETH,1766153891
14173000000000000000000,44217492.32,WETH,1765217219
8500000000000000000000,42644961.47826,wstETH,1760369159
12500000000000000000000,42361610.81025,WETH,1719294527
9917647869486590787673,42306305.57574111951842397648,WETH,1754780951
10017646645039735000000,41736424.617062449812335395,WETH,1760349407
10407000000000000000000,41446811.05493964,WETH,1760455703
10000000000000000000000,41366314.4484,WETH,1755629615
10407000000000000000000,41224000.26,WETH,1760455259
10000000000000000000000,41133100,WETH,1759134095
14000000000000000000000,40139260,WETH,1766062799
40000000000000,40043359.2,USDC,1760132555
40000000000000,39999028,USDC,1737141899
40000000000000,39996204.8,USDT,1762996391
40000000000000,39995600,USDC,1766157647
40000000000000,39994800,USDC,1755089999
40000000000000,39994542.8,USDC,1756767611
40000000000000,39993030,USDT,1762802219
40000000000000,39993030,USDT,1762794875
40000000000000,39993030,USDT,1762829807
